Key,en,es,ar,fr
user Agreement,User Agreement.,Acuerdo del Usuario.,اتفاقية المستخدم.,Accord de l'utilisateur.
or,or,o,أو,ou
reset Password Details,Reset your password to get back access to your dashboard again.,Restablezca su contraseña para recuperar el acceso a su panel nuevamente.,قم بإعادة تعيين كلمة المرور الخاصة بك لتتمكن من الوصول مرة أخرى إلى لوحة التحكم الخاصة بك مرة أخرى.,Réinitialisez votre mot de passe pour accéder à nouveau à votre tableau de bord.
fingerprint,Fingerprint,Huella dactilar,بصمة,Empreinte digitale
fingerprint Authentication,Fingerprint Authentication,Autenticación de huellas dactilares,المصادقة على بصمات الأصابع,Authentification par empreinte digitale
use Finger Print System,Use fingerprint to get more secure system,Utilice la huella digital para obtener un sistema más seguro,استخدم بصمة الإصبع للحصول على نظام أكثر أمانًا,Utilisez l'empreinte digitale pour obtenir un système plus sécurisé
complete,Complete,Completo,مكتمل,Complet
forty percent,40%,40%,40%,40%
confirm,Confirm,Confirmar,يتأكد,Confirmer
skip Now,Skip Now,Saltar ahora,تخطي الآن,Passer maintenant
facelock,Facelock,Bloqueo facial,قفل الوجه,Facelock
facelock Authentication,Facelock Authentication,Autenticación de bloqueo facial,مصادقة قفل الوجه,Authentification Facelock
use Facelock System,Use facelock to get more secure system,Utilice facelock para obtener un sistema más seguro,استخدم Facelock للحصول على نظام أكثر أمانًا,Utilisez Facelock pour obtenir un système plus sécurisé
capture,Capture,Captura,يأسر,Capturer
wait Approval,Wait for Approval,Espera por aprovacion,الانتظار للموافقة عليها,Attendre l'approbation
wait For Your Submitted,Wait for your submitted document to be approved by admin panel,Espere a que el panel de administración apruebe el documento enviado,انتظر حتى تتم الموافقة على المستند المقدم من قبل لوحة الإدارة,Attendez que votre document soumis soit approuvé par le panneau d'administration
okay,Okay,Bueno,تمام,D'accord
go To Dashboard,Go To Dashboard,Ir al panel de control,الذهاب إلى لوحة القيادة,Aller au tableau de bord
reload,Reload,Recargar,إعادة تحميل,Recharger
exit,Exit,Salida,مخرج,Sortie
welcome Backto,Welcome Back to,Bienvenido de nuevo a,مرحبا بكم مرة أخرى في,Bon retour à
sign In With,Sign In with,Inicia sesión con,تسجيل الدخول ب,Se connecter avec
new To App,New to,Nuevo en,جديد ل,Nouveau sur
enter Your Phone Number,Enter your Phone Number to Reset your account,Ingrese su número de teléfono para restablecer su cuenta,أدخل رقم هاتفك لإعادة ضبط حسابك,Entrez votre numéro de téléphone pour réinitialiser votre compte
enter Phone,Enter Phone,Ingresar teléfono,أدخل الهاتف,Entrez le téléphone
reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور,réinitialiser le mot de passe
new Password,New Password,Nueva contraseña,كلمة المرور الجديدة,nouveau mot de passe
enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة المرور الجديدة,Entrez un nouveau mot de passe
congratulations,Congratulations,Felicidades,تهانينا,Toutes nos félicitations
your Password Has Been,"Your password has been reset Successfully, Sign in again now.",Su contraseña se ha restablecido correctamente. Inicie sesión nuevamente ahora.,تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح، قم بتسجيل الدخول مرة أخرى الآن.,"Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau maintenant."
send Money Succesfully,Your money has been send successfully. Thanks for using,Su dinero ha sido enviado exitosamente. Gracias por usar,لقد تم إرسال أموالك بنجاح. شكرا للاستخدام,Votre argent a été envoyé avec succès. Merci d'avoir utilisé
add Money Successfully,Your money has been add successfully. Thanks for using,Su dinero se ha agregado exitosamente. Gracias por usar,تمت إضافة أموالك بنجاح. شكرا للاستخدام,Votre argent a été ajouté avec succès. Merci d'avoir utilisé
opps,Opss!!,¡¡Ops!!,أوبس!!,Oups !!
value,Value,Valor,قيمة,Valeur
something Went Wrong,"Something went wrong, Try again letter.","Algo salió mal, intenta nuevamente carta.",حدث خطأ ما، حاول مرة أخرى.,"Quelque chose s'est mal passé, réessayez la lettre."
total Receive,Total Receive,Recepción total,إجمالي الاستلام,Réception totale
total Send,Total Send Remittance,Envío total de remesas,إجمالي تحويلات الإرسال,Remise totale d'envoi
send,Send,Enviar,يرسل,Envoyer
active,Active,Activo,نشيط,Actif
receive,Receive,Recibir,يستلم,Recevoir
recent Transactions,Recent Transactions,Transacciones Recientes,التحويلات الاخيرة,transactions récentes
money Send,Money Send,Envío de dinero,إرسال الأموال,Envoi d'argent
first Oct,01-Oct-22,01-oct-22,01 أكتوبر 22,01-octobre-22
tn2023,#TN-20236598,#TN-20236598,#تن-20236598,#TN-20236598
Sep29,29-Sep-22,29-septiembre-22,29-سبتمبر-22,29-sept-22
t N20236,#TN-20236598,#TN-20236598,#تن-20236598,#TN-20236598
scan QR,SCAN QR,ESCANEAR QR,مسح QR,NUMÉRISER LE QR
mobile Top Up,Mobile Top Up,Recarga Móvil,تعبئة رصيد الهاتف المحمول,Recharge mobile
deposit,Deposit,Depósito,إيداع,Dépôt
withdraw,Withdraw,Retirar,ينسحب,Retirer
no Bank Found,No bank found,No se encontró ningún banco,لم يتم العثور على أي بنك,Aucune banque trouvée
buy Giftcard,Buy Giftcard,Comprar tarjeta de regalo,شراء بطاقة الهدايا,Acheter une carte cadeau
my Giftcard,My Giftcard,Mi tarjeta de regalo,بطاقة الهدايا الخاصة بي,Ma carte cadeau
for Indivisual,For Indivisuals,Para particulares,للأفراد,Pour les particuliers
use Allpay Scan,Use Allpay Scan to pay me,Utilice Allpay Scan para pagarme,استخدم Allpay Scan للدفع لي,Utilisez Allpay Scan pour me payer
specifyan Amount,Specify An Amount,Especificar una cantidad,حدد المبلغ,Spécifier un montant
save Image,Save Image,Guardar imagen,احفظ الصورة,Enregistrer l'image
transaction History,Transaction History,Historial de transacciones,تاريخ المعاملات,Historique des transactions
money Transfer,Money Transfer,Transferencia de dinero,تحويل المال,Transfert d'argent
qr Address,QR Address,Dirección QR,عنوان الاستجابة السريعة,Adresse QR
qr Code,7QRpdfhgb351gaj,7QRpdfhgb351gaj,7QRpdfhgb351gaj,7QRpdfhgb351gaj
q C0135689,QC0135689,QC0135689,QC0135689,QC0135689
recipient,Recipient,Recipiente,متلقي,Destinataire
archit Barhum,Archit Barhum,Archit Barhum,ارشيت برهوم,Archit Barhum
zero00,0,0,0,0
paste,Paste,Pegar,معجون,Pâte
limit,Limit,Límite,حد,Limite
limit Amount,10.00 USD - 10000.00 USD,"10,00 USD - 10000,00 USD",10.00 دولار أمريكي - 10000.00 دولار أمريكي,"10,00 USD - 10 000,00 USD"
t RX2136987,TRX2136987,TRX2136987,TRX2136987,TRX2136987
transaction No,Transaction No,Número de transacción,رقم العملية التجارية,Numéro de transaction
no Transaction,No Transaction Available Yet,Aún no hay transacción disponible,لا توجد معاملة متاحة حتى الآن,Aucune transaction disponible pour l'instant
recipient Information,Recipient Information,recipiente de información,معلومات المستلم,Renseignements sur le destinataire
giftcard Information,Giftcard Information,Información de la tarjeta de regalo,معلومات بطاقة الهدايا,Informations sur la carte-cadeau
name,Name,Nombre,اسم,Nom
amount Information,Amount Information,Información de cantidad,معلومات المبلغ,Informations sur le montant
you Transfer,You Transfer,Tu transfieres,أنت تنقل,Vous transférez
your Money Has Been Save,Your money has been send Successfully. Thanks for using,Su dinero ha sido enviado con éxito. Gracias por usar,لقد تم إرسال أموالك بنجاح. شكرا للاستخدام,Votre argent a été envoyé avec succès. Merci d'avoir utilisé
sayok,Sayok M.,Sayok M.,سايوك م.,Sayok M.
sayok Gmail,sayok@gmail.com,sayok@gmail.com,sayok@gmail.com,sayok@gmail.com
q RAddress,QR Address,Dirección QR,عنوان الاستجابة السريعة,Adresse QR
transfer Success,Transfer Success,Transferencia exitosa,نجاح النقل,Succès du transfert
yourmoney Sen Success,Your money has been send Successfully. Thanks for using,Su dinero ha sido enviado con éxito. Gracias por usar,لقد تم إرسال أموالك بنجاح. شكرا للاستخدام,Votre argent a été envoyé avec succès. Merci d'avoir utilisé
yourmoney Withdraw Success,Your money has been withdraw Successfully. Thanks for using,Su dinero ha sido retirado con éxito. Gracias por usar,لقد تم سحب أموالك بنجاح. شكرا للاستخدام,Votre argent a été retiré avec succès. Merci d'avoir utilisé
yourmoney Deposit Success,Your money has been Deposit Successfully. Thanks for using,Su dinero ha sido depositado exitosamente. Gracias por usar,لقد تم إيداع أموالك بنجاح. شكرا للاستخدام,Votre argent a été déposé avec succès. Merci d'avoir utilisé
your Bill Pay Success,Your bill has been paid Successfully. Thanks for using,Su factura ha sido pagada exitosamente. Gracias por usar,لقد تم دفع فاتورتك بنجاح. شكرا للاستخدام,Votre facture a été payée avec succès. Merci d'avoir utilisé
your Top Up Success,Your topup has been done Successfully. Thanks for using,Tu recarga se ha realizado con éxito. Gracias por usar,لقد تم اشحن رصيدك بنجاح. شكرا للاستخدام,Votre recharge a été effectuée avec succès. Merci d'avoir utilisé
backto Home,Back to Home,De vuelta a casa,العودة إلى المنزل,De retour à la maison
transfer Failed,Transfer Failed,Transferencia fallida,فشل النقل,Échec du transfert
your Moneyhas Beeen Failed,Your money has been Failed..!! Try Again! Thanks for using,¡¡Tu dinero ha fallado..!! ¡Intentar otra vez! Gracias por usar,لقد فشلت أموالك..!! حاول ثانية! شكرا للاستخدام,Votre argent a échoué .. !! Essayer à nouveau! Merci d'avoir utilisé
try Again,Try Again,Intentar otra vez,حاول ثانية,Essayer à nouveau
add Plus,Add +,Añadir +,أضف +,Ajouter +
update,Update,Actualizar,تحديث,Mise à jour
update Your App Right,Update your app right now for more feature,Actualice su aplicación ahora mismo para obtener más funciones,قم بتحديث تطبيقك الآن لمزيد من الميزات,Mettez à jour votre application dès maintenant pour plus de fonctionnalités
